,inn__location_code,Акцизы__всего,Водный_налог,Единый_налог_на_вмененный_доход_для_отдельных_видов__деятельности,Единый_сельскохозяйственный_налог,Задолженность_и_перерасчеты_по_ОТМЕНЕННЫМ_НАЛОГАМ__и_сборам_и_иным_обязательным_платежам___кроме_ЕСН__страх__Взносов_,Земельный_налог,НЕНАЛОГОВЫЕ_ДОХОДЫ__администрируемые_налоговыми_органами,Налог__взимаемый_в_связи_с__применением_упрощенной__системы_налогообложения,Налог_на_добавленную_стоимость,Налог_на_добычу_полезных_ископаемых,Налог_на_доходы_физических_лиц,Налог_на_имущество_организаций,Налог_на_прибыль,Сборы_за_пользование_объектами_животного_мира__и_за_пользование_объектами_ВБР,Страховые_взносы_на_обязательное_медицинское_страхование_работающего_населения__зачисляемые_в_бюджет_Федерального_фонда_обязательного_медицинского_страхования,Страховые_взносы_на_обязательное_социальное_страхование_на_случай_временной_нетрудоспособности_и_в_связи_с_материнством,Страховые_и_другие_взносы_на_обязательное_пенсионное_страхование__зачисляемые_в_Пенсионный_фонд_Российской_Федерации,Торговый_сбор,Транспортный_налог
10,11.0,6090102.59,967716.3300000001,216194691.61000007,1968499.25,45732.32000000001,50250639.110000014,3883279.0,998644061.9699998,4535407948.140001,54648354.31999999,0.0,202815525.64,944349009.5100001,36769.0,654715308.4100014,179847300.31000063,3262540036.780015,30000.0,104734188.96000004
11,12.0,167024638.0,1081176.85,103933213.62999995,6372756.4399999995,4836.34,37879150.59999999,176462.50000000003,622367740.9799999,1973871593.42,10284862.870000001,0.0,131694623.98,699948515.7400004,689609.0,389491714.8699998,100299466.58000009,1979619646.6900027,0.0,35232089.63
12,13.0,1071935.0,2428653.0900000003,105736124.36999999,11916001.189999998,476071.96,80798098.75999999,1.09,427235735.07,2693780640.5700006,6900855.0,0.0,232019313.34000003,645083188.1800002,23463.309999999998,417985231.42999965,221469553.98000047,2062851160.3900008,1241832.54,54347217.73999997
13,14.0,6038267.5,779268.0,226777022.8,1840743.58,72002.98000000001,57286023.77,5276268.0600000005,1155855275.730001,4159337090.5500016,724170146.08,72640.0,149942311.76,1632547762.84,688750.2,661821885.0199989,208046554.52000028,3134912622.2199993,184150.0,73515810.51000004
14,15.0,2716160416.49,1734889.66,40865059.13999999,11154265.909999998,56616.84,66755803.85999999,394.0,258266670.84000003,796854147.34,13498179.269999998,0.0,115269854.26,312742104.44000006,0.0,122544203.42000012,42344408.82000002,635031482.4099998,0.0,9917412.909999998
15,16.0,22189922.4,6285828.169999999,620987235.8099997,27752428.690000005,8245711.05,1379405500.7900012,3755599.6599999997,3839312941.5099983,23898827078.950024,3843891720.5500007,18306.98,1885892520.649999,9016990090.310013,280501.36,3635896198.289991,1914599916.180005,17245738098.78009,1701084.0,429253391.6099999
16,17.0,0.0,1371929.83,9983354.790000001,0.0,16.44,8108975.86,782.35,69739626.42000003,233773884.71999997,4927629.47,124752.0,37299104.13,72465982.05,3836.0,51036006.33,13682466.280000007,218486279.58000013,0.0,7638849.49
17,18.0,92522519.65,4777599.12,207874993.85,23970440.11,19584.170000000002,146693415.29999995,5903895.319999999,1324318703.9600015,6330258139.819997,2060128950.09,0.0,333537887.48000014,2153679136.3399987,0.0,1102275279.34,266361496.29000044,5372351621.759996,835800.0,91703734.04000004
18,19.0,13230247.5,1850730.0,35089988.57,1143059.06,4626.26,48023954.889999986,162688.37,365972403.29,1188032081.9199996,48130490.4,0.0,116015279.48999998,279775188.29,406489.99,215506706.5800003,56428098.07000003,1121610822.2899992,0.0,13463790.070000004
19,20.0,0.0,22313.0,3070595.4000000004,700021.45,9703.0,44016882.23,0.0,51144954.610000014,324154383.9600001,748924.76,72357.0,80376090.88,151147602.64999995,0.0,67884477.28999996,27469503.289999984,304219582.0500001,0.0,8493463.069999998
20,21.0,655509983.0,2182367.14,142876384.43999994,13995989.850000001,31713.75,123382695.16999997,4090.32,1016235453.1999993,4463082796.750002,4346104.43,0.0,216178697.48000005,1614798598.4899993,119283.0,752791580.6800002,202849379.83000082,3907203565.139996,118987.0,71730951.21999998
21,22.0,1655226635.0600002,7055635.97,295074076.23999983,65179729.98,1229139.9,271277390.7799999,809320.52,1872053247.1100016,7634212817.310013,30029464.24,0.0,720933052.2899998,3010993703.990002,3595561.71,1221905016.6799986,452621656.46000093,5923858215.220008,0.0,145210156.2000001
22,23.0,3436558964.7599998,17952470.650000002,929524743.6500007,360774520.7599999,544075.4500000001,1177384042.6899993,917698.7200000001,5853349593.480001,25670611465.69992,99097816.56,0.0,1864769281.5200007,8100846681.889998,730627.96,3966295042.089999,1316713946.7300086,18687943024.79998,794665.0,440308847.63999987
23,24.0,2163602728.85,7718676.7700000005,580161501.32,16277755.639999999,3723414.5499999993,354595808.18999976,1751040.77,2893993349.5999947,14262334239.080025,108982063.41000001,312.0,753582498.0600002,4557413143.9,8022495.539999998,2224193857.9699984,647537817.0899966,10400851275.529947,456680.0,201332793.7400001
24,25.0,120187208.31,2246499.88,547030286.4700001,126941605.21000001,29573.870000000003,467705637.40000004,1428994.2400000002,3077675382.779999,9741198350.900003,60737115.699999996,0.0,517318137.88,4636533360.619997,71472122.42999999,1768819421.2499995,756878609.5499989,8594197467.940004,718845.0,119471271.86000003
25,26.0,5366028032.58,800240.5199999999,492775969.33,128605946.52000001,512779.44000000006,353958867.00999963,1414215.64,1711958255.8200026,7927958525.269997,61405509.45999999,56992.0,650826517.4199994,2469585389.0500007,68762.0,1294730138.0800028,379004371.3599991,6200778268.100036,274800.0,131733488.20999998
26,27.0,138391388.40999997,1989187.9200000002,520918363.2000001,199395574.68,8540634.83,177211655.92000002,5943241.73,1841002115.2300005,7193132588.280002,169828140.26,7475.0,334751025.7499998,2643442585.1300006,136945493.54,1268380543.5600057,674083274.0500023,6171343366.80002,180000.0,102028060.47000001
27,28.0,10714233.0,3000620.0399999996,164658930.75000003,4864521.93,138.58,78379062.63999997,3732633.6999999993,847235098.7599996,2752540859.670002,517923458.34000003,0.0,242444148.37999997,1082629094.4599998,1421530.78,487879118.27000064,193968264.3699999,2425034242.159999,181000.0,64972141.58000001
28,29.0,59699942.989999995,1806476.5399999998,286233746.32000005,48733785.55,1353.8399999999997,69537757.43999998,1463472.7599999998,1329624336.3899999,3907854759.639999,12852573.0,0.0,216639735.56,1131420702.8999999,8984013.28,794664912.9999987,198336918.10999998,3930014168.2499948,192270.0,72293569.57000002
29,30.0,3974480.0,94965.0,90338364.16000004,14078358.64,75744.96,68057315.07999998,818728.7699999999,696631566.5900007,2255128353.2900004,2679755.0,16973.0,126381648.59,801269045.0299997,2935338.19,371504018.76000077,197654687.1899998,1842196024.8799927,80910.89,51069871.44000002
30,31.0,3729060979.35,3910851.0599999996,211751508.22000012,20094515.799999997,84783.19,649170365.8699998,16427.0,1038843057.4799986,7451138188.760013,4170134.1500000004,0.0,964994127.9099998,2751467322.31,138935.0,1141646026.0000014,613640469.409997,5662601590.9800005,1108165.0,137431994.07000008
31,32.0,911276792.98,1297447.0400000003,193135724.91000003,6524276.17,47107.14000000001,113919671.77999999,4698.11,800398058.4200007,3570611592.8900003,3392563.78,0.0,270644573.3899999,1431832930.6299996,209560.95,607204415.2700001,333145803.70999944,3089524714.1700025,1979378.8,61595952.30000002
